"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STUDPERTEACHER","PRY","RT","A","2013",15.615,
"AUS","STUDPERTEACHER","PRY","RT","A","2014",15.612,
"AUS","STUDPERTEACHER","PRY","RT","A","2015",15.433,
"AUS","STUDPERTEACHER","PRY","RT","A","2016",15.168,
"AUS","STUDPERTEACHER","PRY","RT","A","2017",15.124,
"AUS","STUDPERTEACHER","TRY","RT","A","2013",14.326,
"AUS","STUDPERTEACHER","TRY","RT","A","2014",,"M"
"AUS","STUDPERTEACHER","TRY","RT","A","2015",,"M"
"AUS","STUDPERTEACHER","TRY","RT","A","2016",,"M"
"AUS","STUDPERTEACHER","TRY","RT","A","2017",,"M"
"AUS","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",,"M"
"AUS","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",,"M"
"AUS","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",,"M"
"AUS","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",,"M"
"AUS","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",,"M"
"AUS","STUDPERTEACHER","SRY","RT","A","2014",,"M"
"AUS","STUDPERTEACHER","SRY","RT","A","2015",,"M"
"AUS","STUDPERTEACHER","SRY","RT","A","2016",,"M"
"AUS","STUDPERTEACHER","SRY","RT","A","2017",,"M"
"AUT","STUDPERTEACHER","PRY","RT","A","2013",11.919,
"AUT","STUDPERTEACHER","PRY","RT","A","2014",11.95,
"AUT","STUDPERTEACHER","PRY","RT","A","2015",11.843,
"AUT","STUDPERTEACHER","PRY","RT","A","2016",11.628,
"AUT","STUDPERTEACHER","PRY","RT","A","2017",11.267,
"AUT","STUDPERTEACHER","TRY","RT","A","2013",14.999,
"AUT","STUDPERTEACHER","TRY","RT","A","2014",14.69,
"AUT","STUDPERTEACHER","TRY","RT","A","2015",14.35,
"AUT","STUDPERTEACHER","TRY","RT","A","2016",14.351,
"AUT","STUDPERTEACHER","TRY","RT","A","2017",14.04,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",12.798,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",12.926,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",12.537,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",12.346,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",12.709,
"AUT","STUDPERTEACHER","SRY","RT","A","2013",9.356,
"AUT","STUDPERTEACHER","SRY","RT","A","2014",9.308,
"AUT","STUDPERTEACHER","SRY","RT","A","2015",9.31,
"AUT","STUDPERTEACHER","SRY","RT","A","2016",9.226,
"AUT","STUDPERTEACHER","SRY","RT","A","2017",9.174,
"BEL","STUDPERTEACHER","PRY","RT","A","2013",12.672,
"BEL","STUDPERTEACHER","PRY","RT","A","2014",12.723,
"BEL","STUDPERTEACHER","PRY","RT","A","2015",12.784,
"BEL","STUDPERTEACHER","PRY","RT","A","2016",12.832,
"BEL","STUDPERTEACHER","PRY","RT","A","2017",12.895,
"BEL","STUDPERTEACHER","TRY","RT","A","2013",21.01,
"BEL","STUDPERTEACHER","TRY","RT","A","2014",22.456,
"BEL","STUDPERTEACHER","TRY","RT","A","2015",22.824,
"BEL","STUDPERTEACHER","TRY","RT","A","2016",21.219,
"BEL","STUDPERTEACHER","TRY","RT","A","2017",21.168,
"BEL","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",,"M"
"BEL","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",15.442,
"BEL","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",,"M"
"BEL","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",,"M"
"BEL","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",,"M"
"BEL","STUDPERTEACHER","SRY","RT","A","2013",9.67,
"BEL","STUDPERTEACHER","SRY","RT","A","2014",9.666,
"BEL","STUDPERTEACHER","SRY","RT","A","2015",9.767,
"BEL","STUDPERTEACHER","SRY","RT","A","2016",9.514,
"BEL","STUDPERTEACHER","SRY","RT","A","2017",9.419,
"CAN","STUDPERTEACHER","PRY","RT","A","2012",14.027,
"CAN","STUDPERTEACHER","PRY","RT","A","2013",16.477,
"CAN","STUDPERTEACHER","PRY","RT","A","2014",16.57,
"CAN","STUDPERTEACHER","PRY","RT","A","2015",16.978,
"CAN","STUDPERTEACHER","PRY","RT","A","2016",16.855,
"CAN","STUDPERTEACHER","PRY","RT","A","2017",16.225,
"CAN","STUDPERTEACHER","TRY","RT","A","2012",,"M"
"CAN","STUDPERTEACHER","TRY","RT","A","2013",,"M"
"CAN","STUDPERTEACHER","TRY","RT","A","2014",,"M"
"CAN","STUDPERTEACHER","TRY","RT","A","2015",,"M"
"CAN","STUDPERTEACHER","TRY","RT","A","2016",,"M"
